 Packet Socket successfully opened
 Received packet of length 54
 Received packet of length 54
 Received packet of length 54
 Received packet of length 54
 Received packet of length 120
 Received packet of length 114
 Received packet of length 153
 Received packet of length 153
 Received packet of length 141
 Received packet of length 141
 Received packet of length 89
 Received packet of length 89
 Received packet of length 89
 Received packet of length 90
 Received packet of length 90
 Received packet of length 90
 Received packet of length 90
 Received packet of length 89
 Received packet of length 89
 Received packet of length 90
 Received packet of length 90
 Received packet of length 89
 Received packet of length 180
 Received packet of length 60
 Received packet of length 476
 Received packet of length 60
 Received packet of length 106
 Received packet of length 106
 Received packet of length 122
 Received packet of length 122
 Received packet of length 106
 Received packet of length 106
 Received packet of length 106
 Received packet of length 106
 Received packet of length 74
 Received packet of length 101
 Received packet of length 101
 Received packet of length 74
 Received packet of length 233
 Received packet of length 233
 Received packet of length 101
 Received packet of length 101
 Received packet of length 217
 Received packet of length 217
 Received packet of length 101
 Received packet of length 101
 Received packet of length 74
 Received packet of length 233
 Received packet of length 233
 Received packet of length 101
 Received packet of length 101
 Received packet of length 217
 Received packet of length 217
 Received packet of length 118
 Received packet of length 224
 Received packet of length 418
 Received packet of length 437
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 303
 Received packet of length 540
 Received packet of length 180
 Received packet of length 515
 Received packet of length 175
 Received packet of length 599
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 248
 Received packet of length 180
 Received packet of length 395
 Received packet of length 60
 Received packet of length 60
 Received packet of length 60
 Received packet of length 85
 Received packet of length 54
 Received packet of length 60
 Received packet of length 60
 Received packet of length 88
 Received packet of length 476
 Received packet of length 88
 Received packet of length 136
 Received packet of length 136
 Received packet of length 88
 Received packet of length 88
 Received packet of length 120
 Received packet of length 120
 Received packet of length 60
 Received packet of length 100
 Received packet of length 93
 Received packet of length 60
 Received packet of length 93
 Received packet of length 60
 Received packet of length 93
 Received packet of length 54
 Received p
